#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	ROM1	9606.ENSP00000359245	9606.ENSP00000278833	0	0	0	0	0.107	0	0	0.667	0.690
ABCA4	C8orf37	9606.ENSP00000359245	9606.ENSP00000286688	0	0	0	0	0	0	0	0.588	0.588
ABCA4	MERTK	9606.ENSP00000359245	9606.ENSP00000295408	0	0	0	0	0.055	0.044	0	0.681	0.686
ABCA4	RHO	9606.ENSP00000359245	9606.ENSP00000296271	0	0	0	0	0.081	0	0	0.809	0.817
ABCA4	RP9	9606.ENSP00000359245	9606.ENSP00000297157	0	0	0	0	0	0	0	0.620	0.620
ABCA4	TTLL5	9606.ENSP00000359245	9606.ENSP00000298832	0	0	0	0	0.044	0	0	0.480	0.481
ABCA4	CA4	9606.ENSP00000359245	9606.ENSP00000300900	0	0	0	0	0	0	0	0.499	0.499
ABCA4	NXNL1	9606.ENSP00000359245	9606.ENSP00000305631	0	0	0	0	0.062	0	0	0.563	0.573
ABCA4	USH2A	9606.ENSP00000359245	9606.ENSP00000305941	0	0	0	0	0.074	0	0	0.776	0.783
ABCA4	IQCB1	9606.ENSP00000359245	9606.ENSP00000311505	0	0	0	0	0	0	0	0.492	0.492
ABCA4	PRPF3	9606.ENSP00000359245	9606.ENSP00000315379	0	0	0	0	0	0.058	0	0.638	0.644
ABCA4	CNGB3	9606.ENSP00000359245	9606.ENSP00000316605	0	0	0	0	0.079	0.061	0	0.834	0.844
ABCA4	SNRNP200	9606.ENSP00000359245	9606.ENSP00000317123	0	0	0	0	0	0	0	0.653	0.653
ABCA4	BBS1	9606.ENSP00000359245	9606.ENSP00000317469	0	0	0	0	0	0	0	0.470	0.470
ABCA4	ZNF513	9606.ENSP00000359245	9606.ENSP00000318373	0	0	0	0	0	0.074	0	0.667	0.678
ABCA4	PRPF31	9606.ENSP00000359245	9606.ENSP00000324122	0	0	0	0	0	0	0	0.757	0.757
ABCA4	CABP4	9606.ENSP00000359245	9606.ENSP00000324960	0	0	0	0	0.103	0.045	0	0.374	0.416
ABCA4	PDE6G	9606.ENSP00000359245	9606.ENSP00000328412	0	0	0	0	0.094	0	0	0.683	0.700
ABCA4	CLRN1	9606.ENSP00000359245	9606.ENSP00000329158	0	0	0	0	0	0	0	0.507	0.507
ABCA4	PCARE	9606.ENSP00000359245	9606.ENSP00000332809	0	0	0	0	0.087	0	0	0.749	0.761
ABCA4	RGS9BP	9606.ENSP00000359245	9606.ENSP00000334134	0	0	0	0	0.097	0	0	0.464	0.496
ABCA4	FSCN2	9606.ENSP00000359245	9606.ENSP00000334665	0	0	0	0	0	0	0	0.699	0.699
ABCA4	GRK1	9606.ENSP00000359245	9606.ENSP00000334876	0	0	0	0	0.067	0	0	0.480	0.494
ABCA4	LRAT	9606.ENSP00000359245	9606.ENSP00000337224	0	0	0	0	0	0	0	0.628	0.628
ABCA4	CERKL	9606.ENSP00000359245	9606.ENSP00000341159	0	0	0	0	0.061	0	0	0.818	0.822
ABCA4	KLHL7	9606.ENSP00000359245	9606.ENSP00000343273	0	0	0	0	0	0	0	0.583	0.583
ABCA4	IMPDH1	9606.ENSP00000359245	9606.ENSP00000345096	0	0	0	0	0	0	0	0.668	0.668
ABCA4	CHM	9606.ENSP00000359245	9606.ENSP00000350386	0	0	0	0	0	0	0	0.403	0.403
ABCA4	RGR	9606.ENSP00000359245	9606.ENSP00000352427	0	0	0	0	0.048	0	0	0.470	0.474
ABCA4	DHDDS	9606.ENSP00000359245	9606.ENSP00000353104	0.057	0	0	0	0.045	0	0	0.485	0.496
ABCA4	TOPORS	9606.ENSP00000359245	9606.ENSP00000353735	0	0	0	0	0	0	0	0.599	0.599
ABCA4	SEMA4A	9606.ENSP00000359245	9606.ENSP00000357265	0	0	0	0	0	0.045	0	0.731	0.732
ABCA4	IMPG1	9606.ENSP00000359245	9606.ENSP00000358966	0	0	0	0	0.080	0	0	0.489	0.510
ABCA4	OPN1MW	9606.ENSP00000359245	9606.ENSP00000472316	0	0	0	0	0.109	0	0	0.404	0.446
ABCA4	CYP4V2	9606.ENSP00000359245	9606.ENSP00000368079	0	0	0	0	0.067	0.066	0	0.436	0.465
ABCA4	TTC8	9606.ENSP00000359245	9606.ENSP00000482306	0	0	0	0	0	0	0	0.465	0.465
ABCA4	CACNA1F	9606.ENSP00000359245	9606.ENSP00000365441	0	0	0	0	0.059	0.061	0	0.453	0.474
ABCA4	RBP3	9606.ENSP00000359245	9606.ENSP00000463151	0	0	0	0	0.088	0	0	0.540	0.563
ABCA4	SFTA3	9606.ENSP00000359245	9606.ENSP00000428331	0	0	0	0	0	0	0	0.570	0.570
ABCA4	SPATA7	9606.ENSP00000359245	9606.ENSP00000377176	0	0	0	0	0	0	0	0.577	0.577
ABCA4	PDE6C	9606.ENSP00000359245	9606.ENSP00000360502	0	0	0	0	0.059	0	0	0.571	0.579
ABCA4	NRL	9606.ENSP00000359245	9606.ENSP00000454062	0	0	0	0	0.042	0	0	0.581	0.581
ABCA4	RP1L1	9606.ENSP00000359245	9606.ENSP00000371923	0	0	0	0	0.049	0	0	0.587	0.590
ABCA4	FAM161A	9606.ENSP00000359245	9606.ENSP00000385158	0	0	0	0	0.045	0	0	0.594	0.596
ABCA4	KCNV2	9606.ENSP00000359245	9606.ENSP00000371514	0	0	0	0	0.103	0.046	0	0.581	0.610
ABCA4	IDH3B	9606.ENSP00000359245	9606.ENSP00000482773	0	0	0	0	0	0	0	0.617	0.617
ABCA4	PRPF8	9606.ENSP00000359245	9606.ENSP00000460348	0	0	0	0	0	0	0	0.647	0.647
ABCA4	PDE6B	9606.ENSP00000359245	9606.ENSP00000420295	0	0	0	0	0.059	0	0	0.645	0.651
ABCA4	CEP290	9606.ENSP00000359245	9606.ENSP00000448012	0	0	0	0	0	0	0	0.711	0.711
ABCA4	PRCD	9606.ENSP00000359245	9606.ENSP00000467661	0	0	0	0	0	0	0	0.715	0.715
ABCA4	NR2E3	9606.ENSP00000359245	9606.ENSP00000482504	0	0	0	0	0.067	0.049	0	0.709	0.719
ABCA4	CNGA1	9606.ENSP00000359245	9606.ENSP00000384264	0	0	0	0	0.105	0	0	0.725	0.743
ABCA4	AIPL1	9606.ENSP00000359245	9606.ENSP00000370521	0	0	0	0	0.048	0	0	0.760	0.761
ABCA4	CDHR1	9606.ENSP00000359245	9606.ENSP00000485478	0	0	0	0	0.077	0.057	0	0.749	0.763
ABCA4	RAX2	9606.ENSP00000359245	9606.ENSP00000450456	0	0	0	0	0	0.045	0	0.768	0.768
ABCA4	RPGRIP1	9606.ENSP00000359245	9606.ENSP00000382895	0	0	0	0	0.060	0.046	0	0.776	0.782
ABCA4	PROM1	9606.ENSP00000359245	9606.ENSP00000426809	0	0	0	0	0.088	0	0	0.794	0.804
ABCA4	BEST1	9606.ENSP00000359245	9606.ENSP00000399709	0	0	0	0	0	0	0	0.811	0.811
ABCA4	RDH12	9606.ENSP00000359245	9606.ENSP00000449079	0	0	0	0	0.055	0.069	0	0.823	0.831
ABCA4	EYS	9606.ENSP00000359245	9606.ENSP00000359655	0	0	0	0	0	0.070	0	0.829	0.834
ABCA4	RPGR	9606.ENSP00000359245	9606.ENSP00000495537	0	0	0	0	0.057	0.062	0	0.899	0.903
AGBL5	TTLL5	9606.ENSP00000353249	9606.ENSP00000298832	0	0	0	0	0	0	0	0.567	0.567
AHI1	GUCA1B	9606.ENSP00000265602	9606.ENSP00000230361	0	0	0	0	0.056	0.111	0	0.383	0.437
AHI1	TTC21B	9606.ENSP00000265602	9606.ENSP00000243344	0	0	0	0	0.049	0.074	0	0.569	0.587
AHI1	B9D2	9606.ENSP00000265602	9606.ENSP00000243578	0	0	0	0	0	0.095	0.800	0.842	0.968
AHI1	BBS2	9606.ENSP00000265602	9606.ENSP00000245157	0	0	0	0	0.048	0.064	0	0.601	0.614
AHI1	IFT172	9606.ENSP00000265602	9606.ENSP00000260570	0	0	0	0	0.076	0	0	0.487	0.505
AHI1	ARL3	9606.ENSP00000265602	9606.ENSP00000260746	0	0	0	0	0.061	0.096	0	0.416	0.461
AHI1	B9D1	9606.ENSP00000265602	9606.ENSP00000261499	0	0	0	0	0.049	0.154	0.800	0.871	0.976
AHI1	INPP5E	9606.ENSP00000265602	9606.ENSP00000360777	0	0	0	0	0.052	0	0	0.396	0.404
AHI1	IFT140	9606.ENSP00000265602	9606.ENSP00000406012	0	0	0	0	0.061	0	0	0.399	0.412
AHI1	LCA5	9606.ENSP00000265602	9606.ENSP00000376686	0	0	0	0	0.058	0	0	0.405	0.415
AHI1	BBS5	9606.ENSP00000265602	9606.ENSP00000295240	0	0	0	0	0.049	0	0	0.447	0.451
AHI1	IFT20	9606.ENSP00000265602	9606.ENSP00000464443	0	0	0	0	0	0.065	0	0.438	0.452
AHI1	WDR19	9606.ENSP00000265602	9606.ENSP00000382717	0	0	0	0	0.108	0	0	0.416	0.457
AHI1	BBS1	9606.ENSP00000265602	9606.ENSP00000317469	0	0	0	0	0.047	0.045	0	0.529	0.534
AHI1	PDE6D	9606.ENSP00000265602	9606.ENSP00000287600	0	0	0	0	0	0	0	0.541	0.541
AHI1	BBS4	9606.ENSP00000265602	9606.ENSP00000268057	0	0	0	0	0.060	0.113	0	0.510	0.556
AHI1	SPATA7	9606.ENSP00000265602	9606.ENSP00000377176	0	0	0	0	0.066	0.259	0	0.435	0.575
AHI1	RPGR	9606.ENSP00000265602	9606.ENSP00000495537	0	0	0	0	0.064	0.055	0	0.560	0.577
AHI1	BBS12	9606.ENSP00000265602	9606.ENSP00000438273	0	0	0	0	0.042	0	0	0.585	0.585
AHI1	IFT88	9606.ENSP00000265602	9606.ENSP00000323580	0	0	0	0	0.060	0.113	0	0.603	0.640
AHI1	RPGRIP1	9606.ENSP00000265602	9606.ENSP00000382895	0	0	0	0	0	0.045	0	0.748	0.749
AHI1	IQCB1	9606.ENSP00000265602	9606.ENSP00000311505	0	0	0	0	0.056	0.189	0	0.795	0.829
AHI1	NPHP4	9606.ENSP00000265602	9606.ENSP00000367398	0	0	0	0	0.060	0	0	0.858	0.860
AHI1	OFD1	9606.ENSP00000265602	9606.ENSP00000344314	0	0	0	0	0.103	0.306	0	0.816	0.876
AHI1	ARL13B	9606.ENSP00000265602	9606.ENSP00000377769	0	0	0	0	0.061	0	0	0.909	0.911
AHI1	RPGRIP1L	9606.ENSP00000265602	9606.ENSP00000493946	0	0	0	0	0.064	0.045	0	0.939	0.941
AHI1	TCTN2	9606.ENSP00000265602	9606.ENSP00000304941	0	0	0	0	0	0.065	0.800	0.821	0.963
AHI1	MKS1	9606.ENSP00000265602	9606.ENSP00000376827	0	0	0	0	0.046	0.095	0.800	0.824	0.965
AHI1	TCTN1	9606.ENSP00000265602	9606.ENSP00000380779	0	0	0	0	0.055	0.095	0.800	0.895	0.979
AHI1	TMEM216	9606.ENSP00000265602	9606.ENSP00000334844	0	0	0	0	0	0	0.800	0.929	0.985
AHI1	CEP290	9606.ENSP00000265602	9606.ENSP00000448012	0	0	0	0	0.138	0.060	0.720	0.956	0.988
AHI1	TMEM67	9606.ENSP00000265602	9606.ENSP00000389998	0	0	0	0	0.067	0	0.800	0.966	0.993
AHI1	NPHP1	9606.ENSP00000265602	9606.ENSP00000313169	0	0	0	0	0.047	0.314	0	0.991	0.993
AHI1	CC2D2A	9606.ENSP00000265602	9606.ENSP00000403465	0	0	0	0	0.044	0.172	0.800	0.978	0.996
AHR	AIPL1	9606.ENSP00000242057	9606.ENSP00000370521	0	0	0	0	0	0.233	0.800	0.139	0.856
AIPL1	GUCA1A	9606.ENSP00000370521	9606.ENSP00000053469	0	0	0	0	0.092	0.053	0	0.757	0.773
AIPL1	IMPG2	9606.ENSP00000370521	9606.ENSP00000193391	0	0	0	0	0.072	0	0	0.477	0.493
AIPL1	CRX	9606.ENSP00000370521	9606.ENSP00000221996	0	0	0	0	0.268	0	0	0.906	0.928
AIPL1	RCVRN	9606.ENSP00000370521	9606.ENSP00000226193	0	0	0	0	0.139	0.053	0	0.588	0.635
AIPL1	TULP1	9606.ENSP00000370521	9606.ENSP00000229771	0	0	0	0	0.109	0	0	0.914	0.921
AIPL1	GUCA1B	9606.ENSP00000370521	9606.ENSP00000230361	0	0	0	0	0.051	0.053	0	0.742	0.748
AIPL1	PRPH2	9606.ENSP00000370521	9606.ENSP00000230381	0	0	0	0	0.133	0	0	0.790	0.810
AIPL1	GNAT1	9606.ENSP00000370521	9606.ENSP00000232461	0	0	0	0	0.175	0.071	0	0.488	0.573
AIPL1	AHR	9606.ENSP00000370521	9606.ENSP00000242057	0	0	0	0	0	0.233	0.800	0.139	0.856
AIPL1	GNGT1	9606.ENSP00000370521	9606.ENSP00000248572	0	0	0	0	0.136	0	0	0.457	0.511
AIPL1	CNGB1	9606.ENSP00000370521	9606.ENSP00000251102	0	0	0	0	0.128	0	0	0.751	0.773
AIPL1	GNAT2	9606.ENSP00000370521	9606.ENSP00000251337	0	0	0	0	0.059	0.071	0	0.465	0.492
AIPL1	GUCY2D	9606.ENSP00000370521	9606.ENSP00000254854	0	0	0	0	0.161	0	0	0.970	0.974
AIPL1	PDE6A	9606.ENSP00000370521	9606.ENSP00000255266	0	0	0	0	0.128	0.046	0	0.675	0.706
AIPL1	RDH5	9606.ENSP00000370521	9606.ENSP00000257895	0	0	0	0	0.042	0	0	0.465	0.466
AIPL1	GUCA1C	9606.ENSP00000370521	9606.ENSP00000261047	0	0	0	0	0.070	0.053	0	0.556	0.576
AIPL1	RPE65	9606.ENSP00000370521	9606.ENSP00000262340	0	0	0	0	0.042	0	0	0.902	0.902
AIPL1	PITPNM3	9606.ENSP00000370521	9606.ENSP00000262483	0	0	0	0	0.056	0	0	0.805	0.808
AIPL1	GRK7	9606.ENSP00000370521	9606.ENSP00000264952	0	0	0	0	0.113	0	0	0.429	0.472
AIPL1	PDE6H	9606.ENSP00000370521	9606.ENSP00000266395	0	0	0	0	0.110	0	0	0.479	0.516
AIPL1	RLBP1	9606.ENSP00000370521	9606.ENSP00000268125	0	0	0	0	0.042	0	0	0.433	0.433
AIPL1	CNGA3	9606.ENSP00000370521	9606.ENSP00000272602	0	0	0	0	0.056	0	0	0.574	0.581
AIPL1	ROM1	9606.ENSP00000370521	9606.ENSP00000278833	0	0	0	0	0.076	0	0	0.582	0.597
AIPL1	C8orf37	9606.ENSP00000370521	9606.ENSP00000286688	0	0	0	0	0	0	0	0.512	0.512
AIPL1	MERTK	9606.ENSP00000370521	9606.ENSP00000295408	0	0	0	0	0	0	0	0.728	0.728
AIPL1	RHO	9606.ENSP00000370521	9606.ENSP00000296271	0	0	0	0	0.198	0	0	0.635	0.695
AIPL1	RP9	9606.ENSP00000370521	9606.ENSP00000297157	0	0	0	0	0	0	0	0.402	0.402
AIPL1	TTLL5	9606.ENSP00000370521	9606.ENSP00000298832	0	0	0	0	0	0	0	0.406	0.406
AIPL1	USH2A	9606.ENSP00000370521	9606.ENSP00000305941	0	0	0	0	0.065	0	0	0.447	0.460
AIPL1	IQCB1	9606.ENSP00000370521	9606.ENSP00000311505	0	0	0	0	0	0	0	0.673	0.673
AIPL1	ARR3	9606.ENSP00000370521	9606.ENSP00000311538	0	0	0	0	0.116	0	0	0.419	0.464
AIPL1	CNGB3	9606.ENSP00000370521	9606.ENSP00000316605	0	0	0	0	0.102	0	0	0.571	0.599
AIPL1	ZNF513	9606.ENSP00000370521	9606.ENSP00000318373	0	0	0	0	0	0	0	0.425	0.425
AIPL1	PRPF31	9606.ENSP00000370521	9606.ENSP00000324122	0	0	0	0	0	0	0	0.479	0.479
AIPL1	CABP4	9606.ENSP00000370521	9606.ENSP00000324960	0	0	0	0	0.049	0.046	0	0.598	0.603
AIPL1	PDE6G	9606.ENSP00000370521	9606.ENSP00000328412	0	0	0	0	0.111	0	0	0.445	0.486
AIPL1	PCARE	9606.ENSP00000370521	9606.ENSP00000332809	0	0	0	0	0.126	0	0	0.447	0.496
AIPL1	RGS9BP	9606.ENSP00000370521	9606.ENSP00000334134	0	0	0	0	0.126	0	0	0.590	0.627
AIPL1	FSCN2	9606.ENSP00000370521	9606.ENSP00000334665	0	0	0	0	0.044	0	0	0.480	0.481
AIPL1	GRK1	9606.ENSP00000370521	9606.ENSP00000334876	0	0	0	0	0.048	0	0	0.546	0.550
AIPL1	LRAT	9606.ENSP00000370521	9606.ENSP00000337224	0	0	0	0	0.047	0	0	0.888	0.888
AIPL1	CERKL	9606.ENSP00000370521	9606.ENSP00000341159	0	0	0	0	0	0	0	0.654	0.654
AIPL1	KLHL7	9606.ENSP00000370521	9606.ENSP00000343273	0	0	0	0	0	0	0	0.429	0.429
AIPL1	IMPDH1	9606.ENSP00000370521	9606.ENSP00000345096	0	0	0	0	0	0	0	0.822	0.822
AIPL1	RD3	9606.ENSP00000370521	9606.ENSP00000355969	0	0	0	0	0.104	0	0	0.862	0.871
AIPL1	SEMA4A	9606.ENSP00000370521	9606.ENSP00000357265	0	0	0	0	0	0	0	0.774	0.774
AIPL1	ABCA4	9606.ENSP00000370521	9606.ENSP00000359245	0	0	0	0	0.048	0	0	0.760	0.761
AIPL1	EYS	9606.ENSP00000370521	9606.ENSP00000359655	0	0	0	0	0.043	0	0	0.445	0.446
AIPL1	PDE6C	9606.ENSP00000370521	9606.ENSP00000360502	0	0	0	0	0.086	0.046	0	0.581	0.602
AIPL1	GUCA1A-2	9606.ENSP00000370521	9606.ENSP00000362049	0	0	0	0	0.073	0.053	0	0.489	0.513
AIPL1	CACNA1F	9606.ENSP00000370521	9606.ENSP00000365441	0	0	0	0	0.102	0	0	0.431	0.467
AIPL1	PRCD	9606.ENSP00000370521	9606.ENSP00000467661	0	0	0	0	0	0	0	0.400	0.400
AIPL1	BEST1	9606.ENSP00000370521	9606.ENSP00000399709	0	0	0	0	0	0	0	0.421	0.421
AIPL1	FAM161A	9606.ENSP00000370521	9606.ENSP00000385158	0	0	0	0	0	0	0	0.432	0.432
AIPL1	SFTA3	9606.ENSP00000370521	9606.ENSP00000428331	0	0	0	0	0	0	0	0.445	0.445
AIPL1	TTC8	9606.ENSP00000370521	9606.ENSP00000482306	0	0	0	0	0	0	0	0.474	0.474
AIPL1	CNGA1	9606.ENSP00000370521	9606.ENSP00000384264	0	0	0	0	0.060	0	0	0.512	0.521
AIPL1	RP1L1	9606.ENSP00000370521	9606.ENSP00000371923	0	0	0	0	0.146	0	0	0.475	0.533
AIPL1	RPGRIP1L	9606.ENSP00000370521	9606.ENSP00000493946	0	0	0	0	0	0	0	0.546	0.546
AIPL1	KCNV2	9606.ENSP00000370521	9606.ENSP00000371514	0	0	0	0	0.087	0	0	0.542	0.565
AIPL1	NRL	9606.ENSP00000370521	9606.ENSP00000454062	0	0	0	0	0.074	0	0	0.575	0.589
AIPL1	NR2E3	9606.ENSP00000370521	9606.ENSP00000482504	0	0	0	0	0.106	0	0	0.595	0.622
AIPL1	PROM1	9606.ENSP00000370521	9606.ENSP00000426809	0	0	0	0	0	0	0	0.622	0.622
AIPL1	RPGR	9606.ENSP00000370521	9606.ENSP00000495537	0	0	0	0	0	0	0	0.622	0.622
AIPL1	CDHR1	9606.ENSP00000370521	9606.ENSP00000485478	0	0	0	0	0.045	0	0	0.743	0.744
AIPL1	RAX2	9606.ENSP00000370521	9606.ENSP00000450456	0	0	0	0	0.092	0	0	0.738	0.751
AIPL1	PDE6B	9606.ENSP00000370521	9606.ENSP00000420295	0	0	0	0	0.142	0.046	0	0.724	0.754
AIPL1	CEP290	9606.ENSP00000370521	9606.ENSP00000448012	0	0	0	0	0	0	0	0.829	0.829
AIPL1	LCA5	9606.ENSP00000370521	9606.ENSP00000376686	0	0	0	0	0	0	0	0.854	0.854
AIPL1	RDH12	9606.ENSP00000370521	9606.ENSP00000449079	0	0	0	0	0.048	0	0	0.889	0.890
AIPL1	SPATA7	9606.ENSP00000370521	9606.ENSP00000377176	0	0	0	0	0	0	0	0.930	0.930
AIPL1	RPGRIP1	9606.ENSP00000370521	9606.ENSP00000382895	0	0	0	0	0.047	0	0	0.943	0.943
ARL13B	RCVRN	9606.ENSP00000377769	9606.ENSP00000226193	0	0	0	0	0.055	0.112	0	0.364	0.420
ARL13B	IFT43	9606.ENSP00000377769	9606.ENSP00000238628	0	0	0	0	0.043	0	0	0.452	0.453
ARL13B	TTC21B	9606.ENSP00000377769	9606.ENSP00000243344	0	0	0	0	0.049	0	0	0.617	0.620
ARL13B	B9D2	9606.ENSP00000377769	9606.ENSP00000243578	0	0	0	0	0	0	0	0.580	0.580
ARL13B	BBS2	9606.ENSP00000377769	9606.ENSP00000245157	0	0	0	0	0.049	0	0	0.551	0.555
ARL13B	IFT172	9606.ENSP00000377769	9606.ENSP00000260570	0	0	0	0	0	0	0	0.642	0.642
ARL13B	ARL3	9606.ENSP00000377769	9606.ENSP00000260746	0	0	0	0.846	0.070	0.602	0	0.459	0.782
ARL13B	B9D1	9606.ENSP00000377769	9606.ENSP00000261499	0	0	0	0	0.074	0	0	0.696	0.707
ARL13B	BBS7	9606.ENSP00000377769	9606.ENSP00000264499	0	0	0	0	0.190	0	0	0.491	0.570
ARL13B	AHI1	9606.ENSP00000377769	9606.ENSP00000265602	0	0	0	0	0.061	0	0	0.909	0.911
ARL13B	BBS4	9606.ENSP00000377769	9606.ENSP00000268057	0	0	0	0	0.049	0.095	0	0.587	0.614
ARL13B	C8orf37	9606.ENSP00000377769	9606.ENSP00000286688	0	0	0	0	0.060	0	0	0.443	0.454
ARL13B	PDE6D	9606.ENSP00000377769	9606.ENSP00000287600	0	0	0	0	0	0	0.800	0.789	0.956
ARL13B	BBS5	9606.ENSP00000377769	9606.ENSP00000295240	0	0	0	0	0.042	0	0	0.492	0.492
ARL13B	RHO	9606.ENSP00000377769	9606.ENSP00000296271	0	0	0	0	0	0	0	0.449	0.449
ARL13B	TCTN2	9606.ENSP00000377769	9606.ENSP00000304941	0	0	0	0	0	0	0	0.645	0.645
ARL13B	IQCB1	9606.ENSP00000377769	9606.ENSP00000311505	0	0	0	0	0.063	0	0	0.497	0.509
ARL13B	NPHP1	9606.ENSP00000377769	9606.ENSP00000313169	0	0	0	0	0.049	0	0	0.871	0.872
ARL13B	BBS1	9606.ENSP00000377769	9606.ENSP00000317469	0	0	0	0	0.060	0	0	0.554	0.563
ARL13B	IFT88	9606.ENSP00000377769	9606.ENSP00000323580	0	0	0	0	0.067	0.091	0.400	0.921	0.954
ARL13B	TMEM216	9606.ENSP00000377769	9606.ENSP00000334844	0	0	0	0	0.107	0	0	0.914	0.919
ARL13B	OFD1	9606.ENSP00000377769	9606.ENSP00000344314	0	0	0	0	0.103	0	0	0.857	0.866
ARL13B	INPP5E	9606.ENSP00000377769	9606.ENSP00000360777	0	0	0	0	0	0	0.900	0.583	0.956
ARL13B	KIF3B	9606.ENSP00000377769	9606.ENSP00000364864	0	0	0	0	0	0	0	0.488	0.488
ARL13B	NPHP4	9606.ENSP00000377769	9606.ENSP00000367398	0	0	0	0	0	0	0	0.730	0.730
ARL13B	MKS1	9606.ENSP00000377769	9606.ENSP00000376827	0	0	0	0	0.049	0	0	0.601	0.605
ARL13B	BBS12	9606.ENSP00000377769	9606.ENSP00000438273	0	0	0	0	0.072	0	0	0.410	0.429
ARL13B	CEP162	9606.ENSP00000377769	9606.ENSP00000385215	0	0	0	0	0.095	0	0	0.428	0.460
ARL13B	RPGR	9606.ENSP00000377769	9606.ENSP00000495537	0	0	0	0	0.103	0	0	0.459	0.494
ARL13B	WDR19	9606.ENSP00000377769	9606.ENSP00000382717	0	0	0	0	0.049	0	0	0.546	0.550
ARL13B	IFT140	9606.ENSP00000377769	9606.ENSP00000406012	0	0	0	0	0	0	0	0.642	0.642
ARL13B	IFT20	9606.ENSP00000377769	9606.ENSP00000464443	0	0	0	0	0.049	0	0	0.706	0.708
ARL13B	TCTN1	9606.ENSP00000377769	9606.ENSP00000380779	0	0	0	0	0.047	0	0	0.719	0.721
ARL13B	IFT27	9606.ENSP00000377769	9606.ENSP00000393541	0	0	0	0	0	0.472	0	0.716	0.843
ARL13B	IFT74	9606.ENSP00000377769	9606.ENSP00000404122	0	0	0	0	0.109	0.782	0	0.512	0.897
ARL13B	RPGRIP1L	9606.ENSP00000377769	9606.ENSP00000493946	0	0	0	0	0.082	0	0	0.898	0.903
ARL13B	CEP290	9606.ENSP00000377769	9606.ENSP00000448012	0	0	0	0	0.217	0	0	0.883	0.905
ARL13B	TMEM67	9606.ENSP00000377769	9606.ENSP00000389998	0	0	0	0	0.123	0	0	0.902	0.910
ARL13B	CC2D2A	9606.ENSP00000377769	9606.ENSP00000403465	0	0	0	0	0.044	0	0	0.932	0.932
ARL2BP	BBS2	9606.ENSP00000219204	9606.ENSP00000245157	0	0	0	0	0.067	0	0	0.389	0.405
ARL2BP	WDR19	9606.ENSP00000219204	9606.ENSP00000382717	0	0	0	0	0	0	0	0.426	0.426
ARL2BP	RP1L1	9606.ENSP00000219204	9606.ENSP00000371923	0	0	0	0	0	0	0	0.473	0.473
